x,y,z
4.033196717500686646e-02,-2.521376870572566986e-02,-7.093928754329681396e-02
4.078078269958496094e-02,-1.999117806553840637e-02,-6.313529610633850098e-02
4.056688770651817322e-02,-2.777503058314323425e-02,-4.371222481131553650e-02
4.490841925144195557e-02,-1.815870404243469238e-02,-5.384310707449913025e-02
4.835164174437522888e-02,-1.189513597637414932e-02,-4.461264610290527344e-02
5.494221299886703491e-02,-3.490348462946712971e-04,-3.404740989208221436e-02
-3.734791884198784828e-03,-4.374615475535392761e-02,-6.938850879669189453e-02
-1.042267121374607086e-02,-4.259829595685005188e-02,-5.977647751569747925e-02
1.330896466970443726e-02,6.455574184656143188e-02,2.520417980849742889e-02
8.143949322402477264e-03,6.348495930433273315e-02,2.751454524695873260e-02
9.148875251412391663e-03,5.863365158438682556e-02,2.519654855132102966e-02
1.373340561985969543e-02,6.058409810066223145e-02,2.310943230986595154e-02
-1.977746933698654175e-02,-3.185990080237388611e-02,-7.356718182563781738e-02
-1.988632231950759888e-02,-2.328775636851787567e-02,-7.846617698669433594e-02
-1.730846241116523743e-02,-2.847481891512870789e-02,-8.381937444210052490e-02
-1.560656912624835968e-02,-3.645516932010650635e-02,-7.927522063255310059e-02
-2.366115711629390717e-02,-2.626346983015537262e-02,-6.663711369037628174e-02
-2.104674838483333588e-02,-1.615789346396923065e-02,-7.136359810829162598e-02
1.150899007916450500e-02,7.080820947885513306e-02,1.468940079212188721e-02
1.459088083356618881e-02,6.930726021528244019e-02,1.812121830880641937e-02
1.489814929664134979e-02,6.601461023092269897e-02,1.480824034661054611e-02
1.155166141688823700e-02,6.770083308219909668e-02,1.151957642287015915e-02
2.014437504112720490e-02,1.005516387522220612e-02,-6.110902410000562668e-03
1.175541337579488754e-02,4.194531124085187912e-03,-1.030716858804225922e-02
1.213529426604509354e-02,2.456912957131862640e-02,6.115493364632129669e-03
1.111308857798576355e-02,1.553139742463827133e-02,-1.484279753640294075e-03
1.877700164914131165e-02,1.787636056542396545e-02,-7.672426290810108185e-04
1.860363781452178955e-02,2.544641494750976562e-02,3.485266584903001785e-03
-7.685020100325345993e-03,5.401814356446266174e-03,-1.199773699045181274e-02
-4.112047608941793442e-03,-1.870452426373958588e-03,-2.013047039508819580e-02
4.137010837439447641e-04,1.292375382035970688e-03,-1.724000088870525360e-02
-1.385034178383648396e-03,9.163155220448970795e-03,-7.817688398063182831e-03
-1.531150937080383301e-02,-8.274369873106479645e-03,-2.368310466408729553e-02
-1.843032240867614746e-02,-5.122284637764096260e-04,-1.507174596190452576e-02
-2.493702061474323273e-02,-4.964789375662803650e-03,-1.765459217131137848e-02
-2.154220081865787506e-02,-1.024471316486597061e-02,-2.382081747055053711e-02
-2.167440950870513916e-02,1.510016433894634247e-02,-3.629250568337738514e-04
-2.468466944992542267e-02,2.374151349067687988e-02,2.863273955881595612e-03
-2.696353755891323090e-02,2.359210513532161713e-02,1.048934413120150566e-03
-2.445200271904468536e-02,1.463614590466022491e-02,-2.120488090440630913e-03
-1.499372255057096481e-02,-3.198283538222312927e-02,-8.883523195981979370e-02
-1.232071686536073685e-02,-4.047731682658195496e-02,-8.398249000310897827e-02
-3.934734687209129333e-02,1.893876818940043449e-03,-4.207952320575714111e-02
-4.320588707923889160e-02,-9.278311394155025482e-03,-4.214608296751976013e-02
-4.909303411841392517e-02,-4.347479436546564102e-03,-3.376502171158790588e-02
-4.301379993557929993e-02,6.932469084858894348e-03,-3.602253273129463196e-02
-1.538546103984117508e-02,-1.473158411681652069e-02,-8.004922419786453247e-02
-1.583276130259037018e-02,-1.893912442028522491e-02,-8.660526573657989502e-02
5.719703156501054764e-03,7.171605527400970459e-02,1.291895657777786255e-02
5.838855169713497162e-03,6.841847300529479980e-02,1.032873988151550293e-02
4.357291758060455322e-02,-4.510315600782632828e-03,-5.115691572427749634e-02
5.161020532250404358e-02,6.354085635393857956e-03,-3.930601477622985840e-02
3.857873380184173584e-02,-1.146455947309732437e-02,-6.058752164244651794e-02
3.745592385530471802e-02,-1.463262550532817841e-02,-6.968916207551956177e-02
4.004470631480216980e-02,-1.644457690417766571e-02,-7.783960551023483276e-02
4.324172623455524445e-03,1.645260490477085114e-02,2.000642125494778156e-04
5.469067022204399109e-03,1.280223950743675232e-04,-1.656230352818965912e-02
-1.511704409494996071e-03,-1.021126843988895416e-02,-2.849981747567653656e-02
-2.939459681510925293e-02,-2.357203327119350433e-02,-3.289818763732910156e-02
-2.541922032833099365e-02,-2.998938411474227905e-02,-4.054393246769905090e-02
